data,fase,tipo_post,tema,likes,comentarios,colaboração
2026/03/25,boom,post,motivacional,1769,16,não
2026/03/23,boom,reel,informativo,633,31,sim
2026/03/19,boom,post,motivacional,1282,12,não
2026/03/16,boom,carrossel,informativo,141,7,não
2026/03/11,boom,reel,informativo,316,31,sim
2026/03/08,boom,carrossel,informativo,597,34,não
2026/03/03,boom,reel,informativo,1646,76,sim
2026/03/01,boom,reel,informativo,5641,586,não
2026/03/05,boom,carrossel,informativo,928,53,sim
2026/03/24,boom,reel,informativo,577,82,sim
2026/03/17,boom,reel,informativo,1088,29,sim
2026/03/09,boom,carrossel,informativo,1052,34,não
2026/03/12,boom,reel,motivacional,1849,186,não
2026/03/06,boom,reel,treino,304,52,sim
2026/03/04,boom,reel,treino,428,17,sim
2026/02/24,foguete,carrossel,prova_social,925,82,não
2026/02/10,foguete,reel,informativo,331,43,não
2026/02/04,foguete,reel,informativo,1050,51,sim
2026/02/02,foguete,carrossel,prova_social,836,172,sim
2026/01/27,foguete,reel,treino,321,16,sim
2026/01/12,foguete,carrossel,informativo,1168,97,não
2026/01/07,foguete,reel,informativo,489,29,não
2026/01/03,foguete,reel,treino,636,6,sim
2025/12/26,foguete,reel,motivacional,110,20,sim
2025/12/24,foguete,reel,treino,1252,21,sim
2026/01/05,foguete,reel,motivacional,366,12,não
2026/01/06,foguete,carrossel,meme,1558,7,não
2026/01/19,foguete,reel,informativo,193,5,sim
2026/02/03,foguete,carrossel,informativo,795,63,não
2026/01/08,foguete,reel,motivacional,342,2,sim
